split,account_id,industry,region,employee_band,estimated_revenue_band,process_maturity_band,contact_id,role_function,seniority,buyer_role,lead_id,lead_created_at,lead_source,first_touch_channel,touch_count,inbound_touch_count,outbound_touch_count,session_count,pricing_page_views,demo_page_views,total_session_duration_seconds,touches_week_1,touches_last_7_days,days_since_first_touch,activity_count,days_since_last_touch,opportunity_created,has_open_opportunity,opportunity_estimated_acv,expected_acv,total_touches_all,converted_within_90_days
train,acct_000773,logistics,UK,200-499,$50M-$200M,low,cnt_001124,procurement_manager,vp,end_user,lead_004250,2024-01-08,inbound_marketing,inbound_marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,False,False,,67116.08121451367,0.0,False
train,acct_000043,logistics,UK,500-999,$10M-$50M,high,cnt_003354,it_director,c_suite,technical_evaluator,lead_001565,2024-01-01,inbound_marketing,inbound_marketing,5.0,5.0,0.0,2.0,0.0,0.0,632.0,1.0,,30.333835742092244,,11.003359485085898,False,False,,58295.50663158452,9.0,False
train,acct_000319,logistics,US,200-499,$1M-$10M,medium,cnt_000537,ap_manager,director,champion,lead_002296,2024-01-05,partner_referral,partner_referral,9.0,0.0,9.0,3.0,0.0,0.0,900.0,3.0,2.0,27.96681262771429,2.0,5.711191915200993,True,False,,19986.26251151062,17.0,False
train,acct_000476,healthcare_non_clinical,US,200-499,$10M-$50M,medium,cnt_001478,ap_manager,director,champion,lead_003320,2024-01-29,inbound_marketing,inbound_marketing,5.0,5.0,0.0,1.0,,2.0,435.0,0.0,1.0,20.265681954383744,2.0,0.6712216272156128,True,False,,39357.420972624575,13.0,False
train,acct_000243,manufacturing,US,1000-1999,$10M-$50M,low,cnt_000276,vp_finance,individual_contributor,economic_buyer,lead_001192,2024-01-01,sdr_outbound,sdr_outbound,5.0,0.0,5.0,1.0,0.0,0.0,171.0,1.0,1.0,31.217369696525743,5.0,4.343947540442009,True,True,50371.89584021073,43452.46641864772,10.0,False
train,acct_000353,manufacturing,UK,2000+,$1M-$10M,medium,cnt_002665,procurement_manager,vp,end_user,lead_000123,2024-01-27,sdr_outbound,sdr_outbound,1.0,0.0,1.0,1.0,0.0,0.0,359.0,1.0,0.0,27.58339746775941,0.0,28.598940785518547,False,False,,24212.652011240698,1.0,False
train,acct_000029,healthcare_non_clinical,US,500-999,$10M-$50M,low,cnt_001377,procurement_manager,individual_contributor,end_user,lead_001076,2024-01-18,sdr_outbound,sdr_outbound,10.0,0.0,10.0,4.0,0.0,0.0,765.0,6.0,1.0,,,,False,False,,65917.65550828965,17.0,False
train,acct_001411,professional_services,US,200-499,$10M-$50M,high,cnt_002913,vp_finance,c_suite,economic_buyer,lead_001584,2024-01-09,sdr_outbound,sdr_outbound,12.0,0.0,12.0,2.0,,0.0,515.0,5.0,4.0,29.038060387156584,6.0,3.718211110884809,True,True,43032.618878340254,22521.74016451115,18.0,False
train,acct_001003,manufacturing,US,500-999,$10M-$50M,medium,cnt_001340,vp_finance,director,economic_buyer,lead_000953,2024-01-05,partner_referral,partner_referral,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,19.05729649279088,1.0,3.8495858745312486,True,True,58389.84520307071,64391.12403096336,10.0,False
train,acct_001102,logistics,US,2000+,$10M-$50M,medium,cnt_001944,it_director,manager,technical_evaluator,lead_001798,2024-01-22,inbound_marketing,inbound_marketing,,8.0,0.0,3.0,0.0,0.0,978.0,2.0,2.0,29.424149394259086,3.0,0.018824149626458953,True,True,117026.86272211661,83514.57090899762,12.0,False
train,acct_001054,manufacturing,UK,500-999,$50M-$200M,high,cnt_002889,ap_manager,individual_contributor,champion,lead_002040,2024-01-19,sdr_outbound,sdr_outbound,9.0,0.0,9.0,4.0,2.0,0.0,1391.0,7.0,0.0,29.723279402136594,3.0,,True,True,,73459.0549528695,,False
train,acct_000733,logistics,US,200-499,$1M-$10M,low,cnt_003704,ap_manager,manager,champion,lead_002271,2024-01-29,inbound_marketing,inbound_marketing,6.0,6.0,0.0,1.0,0.0,0.0,255.0,,1.0,,5.0,-1.4372032915577295,True,True,28932.278718716,31772.630742587324,14.0,False
train,acct_000982,healthcare_non_clinical,US,200-499,$10M-$50M,high,cnt_001964,it_director,individual_contributor,technical_evaluator,lead_002238,2024-01-21,inbound_marketing,inbound_marketing,2.0,2.0,,1.0,0.0,0.0,426.0,1.0,0.0,26.59447857861599,2.0,23.02526394587908,True,False,,57292.136615659365,9.0,True
train,acct_001445,logistics,UK,200-499,$1M-$10M,high,cnt_002973,it_director,individual_contributor,technical_evaluator,lead_000860,2024-01-27,inbound_marketing,inbound_marketing,14.0,14.0,0.0,1.0,,0.0,523.0,3.0,6.0,27.730955275335948,7.0,1.5586760139087656,True,True,21316.695757601374,17964.110918708815,17.0,False
train,acct_000252,professional_services,US,500-999,$200M+,high,cnt_003153,vp_finance,director,economic_buyer,lead_000588,2024-01-28,inbound_marketing,inbound_marketing,11.0,11.0,0.0,5.0,1.0,0.0,2137.0,5.0,,29.885967315746385,5.0,9.4555949675411,True,False,,237256.23174387528,12.0,False
train,acct_000393,professional_services,US,500-999,$10M-$50M,high,cnt_001419,procurement_manager,director,end_user,lead_004542,2024-01-20,sdr_outbound,sdr_outbound,8.0,0.0,8.0,2.0,0.0,0.0,789.0,,1.0,24.565756695662582,2.0,-29.726967175278087,True,True,35566.83589443403,,12.0,False
train,acct_000671,logistics,US,1000-1999,$50M-$200M,high,cnt_001970,procurement_manager,individual_contributor,end_user,lead_002802,2024-01-12,inbound_marketing,inbound_marketing,11.0,11.0,0.0,4.0,3.0,0.0,1495.0,2.0,,29.23527315562545,3.0,38.63672082418668,True,True,66209.55510877026,92271.49872205536,16.0,False
train,acct_001489,healthcare_non_clinical,UK,200-499,$1M-$10M,medium,cnt_000684,it_director,individual_contributor,technical_evaluator,lead_001062,2024-01-06,sdr_outbound,sdr_outbound,7.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,31.906128722728397,0.0,20.91890153553467,False,False,,54289.110239149886,,False
train,acct_001021,manufacturing,UK,200-499,$10M-$50M,medium,cnt_002033,ap_manager,c_suite,champion,lead_002967,2024-01-04,sdr_outbound,sdr_outbound,10.0,0.0,10.0,2.0,0.0,0.0,558.0,6.0,0.0,28.811050004862,2.0,10.095776917195359,True,False,,52663.7929838026,11.0,False
train,acct_000525,logistics,US,500-999,$10M-$50M,low,cnt_002167,ap_manager,director,champion,lead_003255,2024-01-21,inbound_marketing,inbound_marketing,,,0.0,1.0,0.0,0.0,352.0,6.0,1.0,30.258003671271663,5.0,-1.1896042845709867,True,True,74410.87813184843,70345.50322264826,12.0,False
