split,account_id,industry,region,employee_band,estimated_revenue_band,process_maturity_band,contact_id,role_function,seniority,buyer_role,lead_id,lead_created_at,lead_source,first_touch_channel,touch_count,inbound_touch_count,outbound_touch_count,session_count,pricing_page_views,demo_page_views,total_session_duration_seconds,touches_week_1,touches_last_7_days,days_since_first_touch,activity_count,days_since_last_touch,opportunity_created,has_open_opportunity,opportunity_estimated_acv,expected_acv,total_touches_all,converted_within_90_days
train,acct_000773,logistics,UK,200-499,$50M-$200M,low,cnt_001124,procurement_manager,vp,end_user,lead_004250,2024-01-08,inbound_marketing,inbound_marketing,9.0,9.0,0.0,3.0,0.0,0.0,796.0,4.0,2.0,28.01572217905263,6.0,4.035906451086055,True,False,,79086.53052716002,12.0,True
train,acct_000043,logistics,UK,500-999,$10M-$50M,high,cnt_003354,it_director,c_suite,technical_evaluator,lead_001565,2024-01-01,inbound_marketing,inbound_marketing,7.0,7.0,0.0,1.0,0.0,0.0,536.0,3.0,1.0,30.114696019867328,4.0,6.327765693401558,True,False,,56089.687226673836,10.0,True
train,acct_000319,logistics,US,200-499,$1M-$10M,medium,cnt_000537,ap_manager,director,champion,lead_002296,2024-01-05,partner_referral,partner_referral,13.0,0.0,13.0,5.0,0.0,0.0,1286.0,5.0,1.0,28.64502758561542,4.0,2.5589920790762024,True,False,,23342.16516309185,13.0,True
train,acct_000476,healthcare_non_clinical,US,200-499,$10M-$50M,medium,cnt_001478,ap_manager,director,champion,lead_003320,2024-01-29,inbound_marketing,inbound_marketing,6.0,6.0,0.0,0.0,,0.0,0.0,2.0,1.0,27.74771018638961,4.0,-0.760737970268833,True,True,14911.502746023458,13188.648533612146,13.0,False
train,acct_000243,manufacturing,US,1000-1999,$10M-$50M,low,cnt_000276,vp_finance,individual_contributor,economic_buyer,lead_001192,2024-01-01,sdr_outbound,sdr_outbound,8.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,30.418251976326776,2.0,4.43902499954997,True,False,,48571.82263865212,10.0,True
train,acct_000353,manufacturing,UK,2000+,$1M-$10M,medium,cnt_002665,procurement_manager,vp,end_user,lead_000123,2024-01-27,sdr_outbound,sdr_outbound,6.0,0.0,6.0,2.0,2.0,1.0,586.0,2.0,2.0,24.856867775705567,4.0,1.1956549420122882,True,False,,24739.656707689333,7.0,False
train,acct_000029,healthcare_non_clinical,US,500-999,$10M-$50M,low,cnt_001377,procurement_manager,individual_contributor,end_user,lead_001076,2024-01-18,sdr_outbound,sdr_outbound,9.0,0.0,9.0,4.0,2.0,0.0,1160.0,4.0,1.0,30.03620847580526,3.0,5.959612069636063,True,True,71371.34592955658,79632.01541874865,14.0,False
train,acct_001411,professional_services,US,200-499,$10M-$50M,high,cnt_002913,vp_finance,c_suite,economic_buyer,lead_001584,2024-01-09,sdr_outbound,sdr_outbound,3.0,0.0,3.0,1.0,,0.0,234.0,3.0,0.0,29.669506194110962,0.0,27.56128502749063,False,False,,46931.84707461178,3.0,False
train,acct_001003,manufacturing,US,500-999,$10M-$50M,medium,cnt_001340,vp_finance,director,economic_buyer,lead_000953,2024-01-05,partner_referral,partner_referral,7.0,0.0,7.0,1.0,0.0,0.0,457.0,3.0,2.0,27.019685368721408,1.0,5.930869248715042,True,False,,56900.66597768188,12.0,True
train,acct_001102,logistics,US,2000+,$10M-$50M,medium,cnt_001944,it_director,manager,technical_evaluator,lead_001798,2024-01-22,inbound_marketing,inbound_marketing,,7.0,0.0,2.0,0.0,0.0,615.0,4.0,0.0,29.802154879813852,6.0,14.352812739600989,True,False,,49049.98935707632,16.0,True
train,acct_001054,manufacturing,UK,500-999,$50M-$200M,high,cnt_002889,ap_manager,individual_contributor,champion,lead_002040,2024-01-19,sdr_outbound,sdr_outbound,8.0,0.0,8.0,3.0,0.0,0.0,1092.0,8.0,0.0,29.904927042888445,1.0,,False,False,,84634.9712043427,8.0,False
train,acct_000733,logistics,US,200-499,$1M-$10M,low,cnt_003704,ap_manager,manager,champion,lead_002271,2024-01-29,inbound_marketing,inbound_marketing,9.0,9.0,0.0,1.0,1.0,0.0,336.0,1.0,2.0,25.928510977798382,6.0,0.5305113068462266,True,False,,25420.14483501457,9.0,False
train,acct_000982,healthcare_non_clinical,US,200-499,$10M-$50M,high,cnt_001964,it_director,individual_contributor,technical_evaluator,lead_002238,2024-01-21,inbound_marketing,inbound_marketing,4.0,4.0,,0.0,0.0,0.0,0.0,1.0,1.0,24.86067491541743,9.0,4.31492595421311,True,False,,55757.91441835894,5.0,True
train,acct_001445,logistics,UK,200-499,$1M-$10M,high,cnt_002973,it_director,individual_contributor,technical_evaluator,lead_000860,2024-01-27,inbound_marketing,inbound_marketing,5.0,5.0,0.0,1.0,0.0,0.0,543.0,3.0,0.0,25.907564244344034,4.0,17.509169975548144,True,False,,20648.571027322556,11.0,False
train,acct_000252,professional_services,US,500-999,$200M+,high,cnt_003153,vp_finance,director,economic_buyer,lead_000588,2024-01-28,inbound_marketing,inbound_marketing,9.0,9.0,0.0,4.0,2.0,0.0,1362.0,2.0,2.0,29.96082176540862,6.0,4.822160157343892,True,False,,229564.30678388115,11.0,True
train,acct_000393,professional_services,US,500-999,$10M-$50M,high,cnt_001419,procurement_manager,director,end_user,lead_004542,2024-01-20,sdr_outbound,sdr_outbound,16.0,0.0,16.0,5.0,7.0,0.0,1744.0,5.0,4.0,28.850806931728194,6.0,0.10119168015825646,True,False,,57459.34281610244,16.0,True
train,acct_000671,logistics,US,1000-1999,$50M-$200M,high,cnt_001970,procurement_manager,individual_contributor,end_user,lead_002802,2024-01-12,inbound_marketing,inbound_marketing,10.0,10.0,0.0,2.0,0.0,3.0,598.0,6.0,1.0,29.737262628663576,4.0,4.493105762403213,True,False,,89352.62253102016,15.0,True
train,acct_001489,healthcare_non_clinical,UK,200-499,$1M-$10M,medium,cnt_000684,it_director,individual_contributor,technical_evaluator,lead_001062,2024-01-06,sdr_outbound,sdr_outbound,10.0,0.0,10.0,3.0,0.0,0.0,717.0,6.0,1.0,30.654889067544264,5.0,4.9735077060272115,True,True,16286.549350747971,26923.692788161068,12.0,False
