split,account_id,industry,region,employee_band,estimated_revenue_band,process_maturity_band,contact_id,role_function,seniority,buyer_role,lead_id,lead_created_at,lead_source,first_touch_channel,touch_count,inbound_touch_count,outbound_touch_count,session_count,pricing_page_views,demo_page_views,total_session_duration_seconds,touches_week_1,touches_last_7_days,days_since_first_touch,activity_count,days_since_last_touch,opportunity_created,has_open_opportunity,opportunity_estimated_acv,expected_acv,total_touches_all,converted_within_90_days
train,acct_000773,logistics,UK,200-499,$50M-$200M,low,cnt_001124,procurement_manager,vp,end_user,lead_004250,2024-01-08,inbound_marketing,inbound_marketing,8.0,8.0,0.0,1.0,1.0,0.0,484.0,1.0,,24.086198508611158,6.0,-3.5747144539187232,True,True,37710.42551803246,-10645.128882835357,,False
train,acct_000043,logistics,UK,500-999,$10M-$50M,high,cnt_003354,it_director,c_suite,technical_evaluator,lead_001565,2024-01-01,inbound_marketing,inbound_marketing,9.0,9.0,0.0,3.0,4.0,,900.0,4.0,,30.62883305317309,,1.8952519188233432,True,True,52804.112720196485,80317.28475907192,,False
train,acct_000319,logistics,US,200-499,$1M-$10M,medium,cnt_000537,ap_manager,director,champion,lead_002296,2024-01-05,partner_referral,partner_referral,9.0,0.0,9.0,4.0,0.0,0.0,1065.0,4.0,2.0,27.053826214825193,,3.2322809610775023,False,False,,15778.446526640288,17.0,False
train,acct_000476,healthcare_non_clinical,US,200-499,$10M-$50M,medium,cnt_001478,ap_manager,director,champion,lead_003320,2024-01-29,inbound_marketing,inbound_marketing,13.0,13.0,0.0,4.0,,0.0,1381.0,1.0,1.0,22.616794427909486,4.0,-4.398843829294206,True,True,-1312.8841795232147,-11408.728282716547,14.0,False
train,acct_000243,manufacturing,US,1000-1999,$10M-$50M,low,cnt_000276,vp_finance,individual_contributor,economic_buyer,lead_001192,2024-01-01,sdr_outbound,sdr_outbound,8.0,0.0,8.0,2.0,1.0,0.0,1128.0,,,32.29311067265875,1.0,3.5385907968992516,True,True,47876.648993836,35049.85592930211,,False
train,acct_000353,manufacturing,UK,2000+,$1M-$10M,medium,cnt_002665,procurement_manager,vp,end_user,lead_000123,2024-01-27,sdr_outbound,sdr_outbound,6.0,0.0,6.0,2.0,0.0,0.0,150.0,4.0,2.0,26.215262450130034,3.0,3.1313429432706332,False,False,,23551.864433039216,,False
train,acct_000029,healthcare_non_clinical,US,500-999,$10M-$50M,low,cnt_001377,procurement_manager,individual_contributor,end_user,lead_001076,2024-01-18,sdr_outbound,sdr_outbound,11.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,2.0,,,,False,False,,75080.37802229391,14.0,False
train,acct_001411,professional_services,US,200-499,$10M-$50M,high,cnt_002913,vp_finance,c_suite,economic_buyer,lead_001584,2024-01-09,sdr_outbound,sdr_outbound,3.0,0.0,3.0,1.0,,0.0,234.0,,,28.188032773479,6.0,3.2455395630901305,True,True,20430.54627729372,-17325.35698486596,13.0,False
train,acct_001003,manufacturing,US,500-999,$10M-$50M,medium,cnt_001340,vp_finance,director,economic_buyer,lead_000953,2024-01-05,partner_referral,partner_referral,9.0,0.0,9.0,4.0,0.0,0.0,1234.0,6.0,0.0,29.107927114909828,5.0,14.382600331021829,False,False,,65572.27931153677,13.0,False
train,acct_001102,logistics,US,2000+,$10M-$50M,medium,cnt_001944,it_director,manager,technical_evaluator,lead_001798,2024-01-22,inbound_marketing,inbound_marketing,,10.0,,0.0,0.0,0.0,0.0,2.0,,27.915293214830267,8.0,1.2577447188576967,True,True,177361.18403426075,115847.61422666862,16.0,False
train,acct_001054,manufacturing,UK,500-999,$50M-$200M,high,cnt_002889,ap_manager,individual_contributor,champion,lead_002040,2024-01-19,sdr_outbound,sdr_outbound,11.0,,11.0,3.0,0.0,0.0,597.0,5.0,2.0,,2.0,,True,True,,46124.560969808226,,False
train,acct_000733,logistics,US,200-499,$1M-$10M,low,cnt_003704,ap_manager,manager,champion,lead_002271,2024-01-29,inbound_marketing,inbound_marketing,10.0,10.0,0.0,1.0,0.0,0.0,368.0,,1.0,,7.0,3.2852578397354546,True,False,,27337.0169189281,15.0,False
train,acct_000982,healthcare_non_clinical,US,200-499,$10M-$50M,high,cnt_001964,it_director,individual_contributor,technical_evaluator,lead_002238,2024-01-21,inbound_marketing,inbound_marketing,6.0,6.0,,4.0,,0.0,1052.0,4.0,0.0,27.236135496044238,2.0,23.603345890077108,False,False,,59215.829093181565,6.0,False
train,acct_001445,logistics,UK,200-499,$1M-$10M,high,cnt_002973,it_director,individual_contributor,technical_evaluator,lead_000860,2024-01-27,inbound_marketing,inbound_marketing,2.0,2.0,0.0,1.0,,0.0,,2.0,0.0,27.49321119844663,0.0,29.944192734602602,False,False,,795.5774219896448,2.0,False
train,acct_000252,professional_services,US,500-999,$200M+,high,cnt_003153,vp_finance,director,economic_buyer,lead_000588,2024-01-28,inbound_marketing,inbound_marketing,3.0,3.0,0.0,1.0,0.0,0.0,,1.0,,29.785201187412373,6.0,43.6434948529468,True,False,,258728.95464104414,3.0,False
train,acct_000393,professional_services,US,500-999,$10M-$50M,high,cnt_001419,procurement_manager,director,end_user,lead_004542,2024-01-20,sdr_outbound,sdr_outbound,10.0,0.0,10.0,,0.0,2.0,642.0,,,29.182033232346296,,-33.64012701877837,True,True,58617.822125684375,,15.0,False
train,acct_000671,logistics,US,1000-1999,$50M-$200M,high,cnt_001970,procurement_manager,individual_contributor,end_user,lead_002802,2024-01-12,inbound_marketing,inbound_marketing,,10.0,0.0,,2.0,,911.0,2.0,,28.559514588289375,6.0,43.6434948529468,True,True,85177.6413982034,133009.06163627835,13.0,False
train,acct_001489,healthcare_non_clinical,UK,200-499,$1M-$10M,medium,cnt_000684,it_director,individual_contributor,technical_evaluator,lead_001062,2024-01-06,sdr_outbound,sdr_outbound,10.0,0.0,10.0,0.0,,,0.0,3.0,2.0,33.590498539617165,2.0,0.8468126103592983,True,True,16542.623794456194,75569.21097086307,,False
